Generation,Max Fitness, Min Fitness, Average Fitness
0,43,0,8
1,45,0,11
2,71,0,15
3,77,0,22
4,86,0,24
5,91,2,36
6,111,5,42
7,118,8,55
8,118,13,64
9,121,28,75
10,131,52,82
11,137,50,88
12,162,54,96
13,172,53,103
14,186,63,118
15,194,74,124
16,207,84,141
17,216,87,142
18,225,107,161
19,225,119,159
20,242,129,178
21,251,142,170
22,253,149,189
23,256,137,178
24,261,150,198
25,264,141,189
26,265,153,211
27,269,172,204
28,272,195,221
29,275,176,220
30,275,188,227
31,276,199,229
32,277,196,232
33,281,214,239
34,282,218,240
35,284,218,248
36,285,221,249
37,289,244,254
38,289,243,253
39,290,247,257
40,291,245,255
41,293,249,260
42,294,248,258
43,295,252,263
44,295,250,261
45,296,252,266
46,296,255,263
47,296,258,267
48,297,256,264
49,299,260,269
50,299,257,266
51,300,262,271
52,301,260,267
53,301,264,273
54,303,261,269
55,306,265,275
56,307,261,271
57,307,268,276
58,308,262,272
59,308,270,278
60,309,265,273
61,309,272,280
62,309,266,274
63,311,273,282
64,312,267,276
65,313,276,283
66,313,269,277
67,314,276,285
68,314,270,279
69,315,280,288
70,315,271,280
71,316,281,289
72,316,274,281
73,319,280,291
74,319,274,281
75,321,283,292
76,321,275,283
77,323,286,295
78,324,275,284
79,324,287,296
80,325,278,285
81,327,290,298
82,327,278,286
83,327,291,299
84,327,279,287
85,328,291,301
86,330,281,289
87,330,292,302
88,330,280,290
89,333,293,304
90,333,282,291
91,333,296,305
92,335,282,291
93,336,297,307
94,336,283,293
95,338,298,310
96,339,286,294
97,341,302,312
98,341,287,296
99,343,305,314
100,343,286,297
101,343,307,316
102,343,289,298
103,346,308,317
104,346,289,299
105,347,310,319
106,347,291,300
107,347,313,322
108,348,293,301
109,350,311,323
110,352,294,303
111,353,316,325
112,353,296,304
113,353,318,327
114,354,297,306
115,354,320,329
116,355,298,307
117,357,321,330
118,357,300,308
119,357,321,332
120,358,300,309
121,359,324,334
122,361,301,310
123,363,324,335
124,364,303,311
125,365,327,337
126,365,304,312
127,366,328,339
128,367,304,313
129,368,330,341
130,368,304,315
131,370,331,342
132,370,308,315
133,370,332,344
134,371,307,317
135,373,337,345
136,375,310,318
137,375,335,347
138,375,309,321
139,377,336,348
140,377,315,323
141,377,337,350
142,378,316,324
143,378,339,352
144,379,316,325
145,380,344,354
146,381,317,326
147,382,347,356
148,382,320,328
149,385,348,359
150,385,320,330
151,386,351,361
152,387,322,331
153,388,354,363
154,389,325,333
155,391,355,365
156,392,327,334
157,393,358,367
158,393,328,335
159,394,358,368
160,394,329,336
161,395,358,369
162,395,329,337
163,396,361,370
164,396,329,337
165,396,363,371
166,397,330,338
167,398,364,372
168,399,331,339
169,400,364,373
170,400,332,341
171,402,366,375
172,404,331,342
173,404,367,377
174,405,335,344
175,406,369,378
176,406,335,345
177,407,371,380
178,407,337,347
179,409,372,381
180,410,337,349
181,411,373,384
182,412,341,351
183,412,375,385
184,413,340,352
185,416,378,387
186,416,345,355
187,416,379,389
188,417,347,356
189,419,382,391
190,421,349,358
191,422,384,392
192,422,350,360
193,422,383,395
194,423,354,362
195,424,387,397
196,424,355,363
197,426,389,399
198,426,354,365
199,427,393,401
200,428,356,366
201,430,392,402
202,430,356,368
203,430,393,403
204,431,360,370
205,433,395,406
206,435,360,372
207,438,397,407
208,438,363,374
209,438,400,409
210,438,364,375
211,440,401,411
212,441,367,376
213,441,403,412
214,441,369,377
215,442,404,413
216,443,369,379
217,445,406,416
218,446,371,380
219,446,409,417
220,446,371,381
221,446,409,419
222,447,374,382
223,447,409,420
224,448,373,383
225,450,412,421
226,451,376,385
227,453,416,423
228,453,377,386
229,454,416,426
230,456,379,387
231,456,417,427
232,457,380,389
233,458,421,429
234,458,380,389
235,460,420,431
236,460,381,391
237,461,421,433
238,462,382,392
239,463,424,435
240,464,384,393
241,467,427,438
242,468,385,395
243,468,430,439
244,470,388,395
245,471,432,442
246,471,389,397
247,472,433,443
248,472,389,398
249,473,437,445
250,473,391,399
251,474,436,445
252,475,392,400
253,475,436,446
254,475,393,401
255,477,438,449
256,477,394,403
257,478,439,450
258,479,393,403
259,480,441,451
260,480,396,405
261,481,443,452
262,481,398,406
263,483,445,454
264,483,396,406
265,485,444,456
266,487,398,408
267,487,447,458
268,488,400,409
269,489,449,459
270,489,400,411
271,491,450,461
272,491,404,412
273,492,453,462
274,492,405,414
275,494,455,463
276,495,406,414
277,495,454,465
278,496,405,415
279,497,458,466
280,497,406,417
281,498,458,468
282,498,409,419
283,501,460,469
284,502,408,420
285,502,460,470
286,503,411,421
287,503,460,470
288,503,411,422
289,503,461,473
290,503,413,423
291,504,463,474
292,504,414,424
293,507,465,475
294,508,418,426
295,508,467,477
296,508,419,428
297,510,466,478
298,510,419,429
299,511,470,480
300,512,419,431
301,513,470,481
302,513,422,433
303,514,473,483
304,515,424,434
305,516,476,484
306,518,427,435
307,520,474,485
308,520,425,437
309,521,476,487
310,521,427,439
311,522,477,487
312,522,429,440
313,523,481,489
314,523,431,442
315,523,481,490
316,523,434,443
317,523,478,490
318,523,434,444
319,524,483,491
320,524,435,445
321,525,482,492
322,526,436,447
323,526,485,493
324,526,437,448
325,527,486,495
326,528,439,451
327,528,487,495
328,528,440,452
329,530,488,496
330,530,441,454
331,530,487,497
332,532,444,455
333,532,490,498
334,533,446,456
335,534,490,500
336,534,447,457
337,535,489,500
338,535,447,459
339,535,491,501
340,535,449,460
341,537,494,503
342,537,452,462
343,537,494,503
344,538,448,464
345,539,494,505
346,541,455,465
347,541,496,506
348,541,456,467
349,542,500,508
350,542,458,468
351,542,502,510
352,542,461,468
353,543,503,511
354,544,459,469
355,544,502,511
356,544,459,470
357,545,501,511
358,545,460,471
359,546,503,512
360,548,459,472
361,548,503,512
362,548,464,473
363,549,505,513
364,549,463,473
365,550,506,515
366,550,464,474
367,551,506,515
368,551,466,476
369,551,506,516
370,551,467,477
371,551,507,517
372,551,469,477
373,551,510,518
374,553,468,479
375,554,509,519
376,554,467,480
377,555,511,521
378,555,471,481
379,557,513,522
380,557,473,482
381,559,515,524
382,559,474,484
383,559,516,525
384,560,477,486
385,562,518,526
386,562,477,487
387,562,518,527
388,562,479,488
389,562,518,528
390,562,480,489
391,563,519,529
392,563,478,489
393,564,521,530
394,564,479,490
395,564,518,531
396,565,481,491
397,566,524,532
398,566,481,491
399,566,523,533
400,567,484,492
401,567,524,534
402,568,482,493
403,569,526,534
404,569,484,494
405,569,524,535
406,569,485,495
407,569,526,535
408,569,485,496
409,569,526,536
410,569,487,496
411,569,527,536
412,569,486,496
413,569,527,537
414,570,487,497
415,571,529,538
416,571,489,498
417,571,527,540
418,573,490,499
419,574,531,540
420,574,490,500
421,574,530,542
422,575,492,501
423,575,536,543
424,576,491,501
425,576,532,544
426,576,493,503
427,577,535,545
428,579,493,504
429,579,536,546
430,579,496,505
431,579,536,547
432,579,496,506
433,579,537,547
434,580,497,507
435,581,538,548
436,581,496,508
437,581,539,549
438,583,499,509
439,583,537,549
440,583,499,510
441,584,539,551
442,584,501,511
443,585,541,552
444,585,503,513
445,586,543,553
446,588,502,514
447,588,543,554
448,588,505,516
449,588,543,555
450,588,506,518
451,589,545,556
452,589,508,519
453,589,546,557
454,591,508,520
455,591,547,558
456,592,511,520
457,592,549,559
458,593,511,521
459,593,550,560
460,593,513,522
461,594,551,560
462,595,514,523
463,595,549,561
464,595,512,524
465,595,551,562
466,595,514,525
467,595,554,564
468,596,515,526
469,596,553,564
470,596,515,527
471,597,556,565
472,597,519,528
473,599,554,567
474,599,519,529
475,600,557,568
476,600,520,531
477,601,562,569
478,601,520,532
479,601,561,570
480,602,522,534
481,603,562,571
482,603,522,535
483,603,561,572
484,603,525,536
485,603,561,573
486,603,525,536
487,604,564,574
488,606,527,537
489,606,564,575
490,606,525,538
491,607,567,576
492,607,526,539
493,608,565,578
494,608,527,541
495,610,567,578
496,611,531,542
497,612,569,579
498,612,529,543
499,612,571,580
500,612,532,544
501,614,568,582
502,614,532,546
503,614,568,582
504,614,534,547
505,615,572,583
506,615,536,548
507,616,571,584
508,617,539,550
509,617,572,585
510,617,541,552
511,618,575,586
512,618,542,554
513,621,576,587
514,621,543,556
515,621,579,589
516,621,548,558
517,622,580,590
518,623,549,559
519,624,579,591
520,624,549,560
521,625,582,593
522,626,551,562
523,626,581,593
524,626,550,563
525,626,585,594
526,626,553,565
527,626,586,595
528,627,554,565
529,627,586,595
530,628,552,566
531,628,587,596
532,629,557,567
533,629,586,597
534,629,555,568
535,629,587,597
536,629,556,568
537,630,587,598
538,630,558,569
539,630,588,600
540,631,560,570
541,631,590,600
542,631,560,571
543,632,590,601
544,633,560,572
545,634,591,601
546,635,562,573
547,635,590,601
548,635,563,574
549,636,591,602
550,636,565,575
551,636,593,602
552,637,564,577
553,637,591,603
554,637,564,578
555,637,592,603
556,638,565,578
557,638,593,604
558,639,568,580
559,639,595,605
560,641,570,581
561,641,596,606
562,641,572,582
563,642,595,608
564,644,574,586
565,647,598,609
566,647,570,587
567,647,599,610
568,649,575,589
569,649,601,610
570,651,580,590
571,651,599,611
572,651,582,591
573,651,602,612
574,651,581,592
575,651,602,612
576,653,583,594
577,653,602,613
578,653,584,596
579,653,604,614
580,653,584,597
581,653,605,615
582,654,587,598
583,654,605,615
584,654,589,599
585,654,605,617
586,655,587,600
587,655,607,618
588,655,589,602
589,655,607,619
590,655,591,604
591,657,609,620
592,658,595,606
593,658,610,620
594,660,597,607
595,660,610,622
596,660,599,608
597,662,608,623
598,662,598,609
599,665,608,623
600,666,598,610
601,666,612,625
602,667,600,610
603,667,613,626
604,667,601,610
605,669,616,628
606,669,600,611
607,669,616,629
608,669,599,612
609,669,618,630
610,671,603,614
611,672,622,632
612,672,602,615
613,672,618,633
614,672,601,616
615,673,623,633
616,674,605,617
617,676,624,635
618,677,609,619
619,677,624,635
620,677,607,619
621,677,625,636
622,677,608,621
623,677,627,637
624,677,610,623
625,677,625,638
626,677,612,624
627,679,629,639
628,679,612,625
629,679,628,640
630,680,615,627
631,680,630,640
632,682,618,628
633,682,629,640
634,683,619,630
635,683,631,641
636,684,620,631
637,684,631,641
638,686,618,633
639,686,630,642
640,686,621,633
641,686,634,642
642,686,623,634
643,686,633,643
644,686,620,634
645,688,633,644
646,689,622,635
647,689,632,644
648,689,624,636
649,690,635,645
650,690,625,636
