Generation,Max Fitness, Min Fitness, Average Fitness
1,5,0,2
2,5,0,3
3,6,0,3
4,7,1,3
5,8,1,4
6,9,1,4
7,9,2,4
8,9,2,4
9,9,2,5
10,10,2,5
11,11,3,5
12,11,4,6
13,12,2,7
14,12,3,7
15,12,4,8
16,12,4,9
17,15,5,9
18,16,5,9
19,16,5,10
20,16,5,10
21,16,5,11
22,18,6,12
23,20,6,12
24,20,8,13
25,20,8,14
26,22,7,14
27,23,9,16
28,25,9,16
29,28,9,17
30,28,10,18
31,31,10,19
32,32,10,20
33,33,12,22
34,33,12,23
35,35,13,24
36,37,14,25
37,38,16,27
38,38,17,28
39,39,13,29
40,39,13,30
41,39,19,32
42,40,18,32
43,41,20,33
44,41,17,33
45,42,16,34
46,42,15,35
47,42,20,35
48,43,17,35
49,44,19,36
50,44,24,37
51,44,14,38
52,44,12,37
53,44,22,38
54,44,19,38
55,44,14,38
56,44,21,38
57,44,19,39
58,44,19,39
59,44,21,40
60,44,26,40
61,44,22,40
62,44,22,40
63,44,20,40
64,44,20,40
65,44,19,41
66,45,23,40
67,45,21,40
68,45,23,40
69,45,24,41
70,46,18,40
71,46,22,41
72,46,22,41
73,46,20,41
74,46,23,41
75,47,24,42
76,48,20,41
77,48,21,42
78,50,22,43
79,50,18,43
80,50,27,43
81,50,26,44
82,50,23,43
83,50,22,44
84,50,22,44
85,50,26,45
86,50,21,46
87,50,24,46
88,50,26,46
89,50,23,47
90,50,31,46
91,50,28,47
92,50,27,47
93,50,30,47
94,50,27,47
95,50,25,47
96,50,26,47
97,50,32,47
98,50,29,47
99,50,24,47
100,50,24,47
101,50,29,47
102,50,26,47
103,50,26,47
104,50,28,47
105,50,22,47
106,51,28,47
107,51,27,47
108,51,27,47
109,51,30,47
110,51,29,47
111,52,26,47
112,52,27,48
113,52,26,47
114,52,32,48
115,52,25,47
116,52,31,48
117,52,26,48
118,52,28,48
119,52,31,48
120,52,34,48
121,52,29,48
122,52,28,48
123,52,29,48
124,52,28,48
125,52,31,47
126,52,26,48
127,52,28,48
128,52,25,48
129,52,28,48
130,52,26,48
131,52,27,48
132,52,30,49
133,52,26,48
134,52,29,48
135,52,26,48
136,52,22,48
137,52,34,49
138,52,27,48
139,52,23,48
140,52,27,49
141,52,22,48
142,52,30,49
143,52,26,48
144,52,31,49
145,52,27,48
146,52,30,49
147,52,25,48
148,52,29,49
149,52,33,49
150,52,32,49
151,52,27,49
152,52,34,49
153,52,33,49
154,52,30,48
155,52,26,48
156,52,31,48
157,52,25,49
158,52,26,48
159,52,20,49
160,52,26,48
161,52,24,48
162,52,24,48
163,52,25,49
164,52,27,49
165,52,29,49
166,52,28,48
167,52,29,49
168,52,32,49
169,52,33,49
170,52,27,49
171,52,30,49
172,52,32,49
173,52,34,49
174,52,30,48
175,52,27,48
176,52,34,49
177,52,27,48
178,52,32,48
179,52,28,49
180,52,22,49
181,52,30,49
182,52,31,48
183,52,29,49
184,52,30,49
185,52,27,49
186,52,29,50
187,52,29,49
188,52,32,50
189,52,27,49
190,52,29,49
191,52,32,49
192,52,29,49
193,52,29,48
194,52,26,49
195,52,29,49
196,52,30,49
197,52,26,49
198,52,25,49
199,52,27,49
200,52,29,49
201,52,30,49
202,52,25,49
203,52,30,50
204,52,33,49
205,52,32,49
206,52,32,49
207,52,33,49
208,52,28,49
209,52,27,49
210,52,27,49
211,52,29,50
212,52,26,49
213,52,30,49
214,52,27,48
215,52,30,49
216,52,25,49
217,52,25,49
218,52,26,49
219,52,23,49
220,52,29,49
221,52,24,48
222,52,28,49
223,52,31,50
224,52,29,49
225,52,27,49
226,52,29,49
227,52,25,49
228,52,32,49
229,52,25,49
230,52,22,49
231,52,33,49
232,52,25,49
233,52,26,49
234,52,26,49
235,52,31,49
236,52,24,49
237,52,27,49
238,52,32,49
239,52,28,49
240,52,31,50
241,52,25,49
242,52,33,49
243,52,27,49
244,52,32,49
245,52,26,50
246,52,34,50
247,52,27,49
248,52,27,49
249,52,26,50
250,52,33,50
251,52,27,49
252,52,27,49
253,52,32,49
254,52,32,49
255,52,29,49
256,52,24,49
257,52,31,49
258,52,30,49
259,52,32,49
260,52,25,49
261,52,27,49
262,52,26,49
263,52,28,49
264,52,29,49
265,52,21,49
266,52,22,49
267,52,30,50
268,52,29,49
269,52,26,49
270,52,29,50
271,52,26,49
272,52,27,49
273,52,30,49
274,52,24,49
275,52,23,49
276,52,28,49
277,52,30,49
278,52,27,49
279,52,31,49
280,52,31,49
281,52,20,49
282,52,27,50
283,52,26,49
284,52,23,49
285,52,30,49
286,52,26,49
287,52,31,50
288,52,22,50
289,52,29,50
290,52,28,49
291,52,25,49
292,52,31,49
293,52,29,49
294,52,29,49
295,52,28,49
296,52,27,50
297,52,25,49
298,52,27,49
299,52,25,49
300,52,27,49
301,52,26,49
302,52,31,49
303,52,26,49
304,52,21,49
305,52,27,49
306,52,26,49
307,52,31,49
308,52,33,49
309,52,24,49
310,52,30,49
311,52,29,48
312,52,32,50
313,52,24,49
314,52,29,49
315,52,21,49
316,52,22,50
317,52,32,50
318,52,31,49
319,52,25,49
320,52,31,49
321,52,31,50
322,52,28,49
323,52,24,49
324,52,28,49
325,52,30,49
326,53,30,49
327,53,28,49
328,53,23,49
329,53,26,49
330,53,24,49
331,53,26,49
332,53,22,50
333,53,26,49
334,53,28,49
335,53,24,48
336,53,25,49
337,53,27,49
338,53,34,50
339,53,24,49
340,53,23,48
341,53,32,50
342,53,28,49
343,53,30,49
344,53,26,49
345,53,27,49
346,53,28,49
347,53,25,49
348,53,26,49
349,53,30,50
350,53,26,49
351,53,33,50
352,53,31,50
353,53,29,50
354,53,28,50
355,53,32,50
356,53,30,50
357,53,29,50
358,53,31,50
359,53,26,49
360,53,28,50
361,53,28,50
362,53,29,50
363,53,25,50
364,53,26,50
365,53,29,50
366,53,29,50
367,53,26,50
368,53,28,50
369,53,32,50
370,53,29,49
371,53,29,49
372,53,30,50
373,53,26,49
374,53,32,50
375,53,26,50
376,53,28,50
377,53,31,50
378,53,29,49
379,53,24,49
380,53,30,50
381,53,30,50
382,53,27,50
383,53,29,50
384,53,24,49
385,53,30,50
386,53,29,50
387,53,29,50
388,53,21,50
389,53,34,50
390,53,26,50
391,53,24,50
392,53,27,50
393,53,33,50
394,53,31,50
395,53,25,49
396,53,28,50
397,53,28,50
398,53,24,49
399,53,29,50
400,53,28,50
401,53,26,49
402,53,33,49
403,53,32,50
404,53,22,49
405,53,27,49
406,53,32,50
407,53,32,50
408,53,32,50
409,53,33,50
410,53,29,50
411,53,24,49
412,53,27,50
413,53,26,49
414,53,25,50
415,53,31,50
416,53,22,50
417,53,29,50
418,53,35,50
419,53,35,50
420,53,29,49
421,53,27,49
422,53,27,50
423,53,31,50
424,53,28,50
425,53,29,50
426,53,24,50
427,53,24,50
428,53,32,50
429,53,30,49
430,53,22,49
431,53,28,50
432,53,31,50
433,53,28,50
434,53,24,50
435,53,26,50
436,53,35,51
437,53,32,50
438,53,28,50
439,53,28,50
440,53,29,50
441,53,32,50
442,53,29,50
443,53,22,50
444,53,27,49
445,53,24,50
446,53,28,50
447,53,30,50
448,53,28,50
449,53,25,49
450,53,31,50
451,53,30,50
452,53,28,50
453,53,29,50
454,53,27,50
455,53,31,50
456,53,22,50
457,53,30,49
458,53,26,50
459,53,25,49
460,53,28,49
461,53,29,49
462,53,31,50
463,53,32,50
464,53,27,50
465,53,26,50
466,53,30,49
467,53,26,49
468,53,26,50
469,53,23,49
470,53,26,50
471,53,34,50
472,53,29,50
473,53,26,50
474,53,30,50
475,53,30,50
476,53,33,50
477,53,26,50
478,53,27,50
479,53,24,50
480,53,29,50
481,53,29,50
482,53,30,50
483,53,28,49
484,53,31,50
485,53,27,49
486,53,29,49
487,53,26,49
488,53,30,50
489,53,33,50
490,53,31,50
491,53,27,50
492,53,32,50
493,53,26,49
494,53,30,50
495,53,26,50
496,53,21,49
497,53,21,49
498,53,33,50
499,53,26,50
500,53,27,50
501,53,28,50
502,53,30,50
503,53,26,50
504,53,30,50
505,53,31,50
506,53,24,50
507,53,30,50
508,53,30,50
509,53,32,50
510,53,25,50
511,53,34,51
512,53,31,50
513,53,27,50
514,53,25,50
515,53,28,49
516,53,31,50
517,53,32,50
518,53,27,49
519,53,23,49
520,53,28,50
521,53,28,50
522,53,26,50
523,53,24,50
524,53,25,50
525,53,22,50
526,53,24,49
527,53,25,50
528,53,18,49
529,53,29,49
530,53,25,49
531,53,32,50
532,53,29,50
533,53,24,50
534,53,28,50
535,53,24,50
536,53,32,50
537,53,26,50
538,53,25,49
539,53,23,49
540,53,29,50
541,53,27,49
542,53,21,50
543,53,27,50
544,53,26,50
545,53,30,50
546,53,23,49
547,53,28,50
548,53,23,50
549,53,31,50
550,53,30,49
551,53,26,49
552,53,22,50
553,53,21,50
554,53,30,50
555,53,26,49
556,53,32,50
557,53,23,49
558,53,27,49
559,53,26,49
560,53,32,50
561,53,28,50
562,53,24,50
563,53,28,49
564,53,34,50
565,53,31,50
566,53,27,50
567,53,28,50
568,53,28,49
569,53,30,49
570,53,29,49
571,53,31,50
572,53,23,50
573,53,26,50
574,53,27,50
575,53,30,50
576,53,30,50
577,53,28,49
578,53,30,50
579,53,28,50
580,53,29,50
581,53,27,50
582,53,29,50
583,53,28,50
584,53,29,50
585,53,27,50
586,53,23,50
587,53,28,50
588,53,28,49
589,53,26,49
590,53,29,50
591,53,29,50
592,53,30,50
593,53,33,50
594,53,30,50
595,53,31,50
596,53,24,50
597,53,29,50
598,53,27,50
599,53,31,50
600,53,32,49
601,53,27,49
602,53,28,50
603,53,29,50
604,53,32,50
605,53,27,50
606,53,26,49
607,53,26,50
608,53,24,49
609,53,25,49
610,53,28,49
611,53,31,50
612,53,30,50
613,53,30,50
614,53,30,50
615,53,30,50
616,53,26,50
617,53,33,50
618,53,30,50
619,53,26,50
620,53,33,50
621,53,26,50
622,53,29,50
623,53,31,50
624,53,32,50
625,53,26,50
626,53,27,50
627,53,29,49
628,53,30,50
629,53,30,50
630,53,30,50
631,53,31,50
632,53,24,49
633,53,25,50
634,53,29,50
635,53,28,49
636,53,27,50
637,53,28,50
638,53,27,50
639,53,27,50
640,53,28,50
641,53,24,49
642,53,24,50
643,53,24,50
644,53,30,50
645,53,34,50
646,53,28,50
647,53,24,50
648,53,24,50
649,53,31,50
650,53,31,50
651,53,26,49
652,53,31,50
653,53,29,50
654,53,30,50
655,53,28,50
656,53,28,50
657,53,28,50
658,53,25,49
659,53,29,49
660,53,30,50
661,53,28,50
662,53,31,50
663,53,28,50
664,53,32,50
665,53,31,50
666,53,27,49
667,53,30,50
668,53,26,50
669,53,28,50
670,53,22,49
671,53,24,49
672,53,32,50
673,53,29,50
674,53,25,50
675,53,29,50
676,53,27,50
677,53,26,49
678,53,29,49
679,53,26,50
680,53,29,50
681,53,26,49
682,53,29,50
683,53,28,50
684,53,24,50
685,53,25,49
686,53,28,50
687,53,27,50
688,53,32,50
689,53,31,50
690,53,26,50
691,53,33,50
692,53,27,50
693,53,27,50
694,53,32,49
695,53,30,50
696,53,28,49
697,53,30,50
698,53,34,50
699,53,24,50
700,53,26,49
701,53,29,49
702,53,35,50
703,53,26,49
704,53,30,50
705,53,25,50
706,53,31,50
707,53,27,50
708,53,30,50
709,53,33,50
710,53,29,50
711,53,29,50
712,53,27,50
713,53,27,50
714,53,32,50
715,53,26,49
716,53,33,49
717,53,25,50
718,53,26,50
719,53,26,50
720,53,30,50
721,53,30,50
722,53,23,49
723,53,22,50
724,53,28,50
725,53,23,50
726,53,24,49
727,53,24,49
728,53,22,49
729,53,25,49
730,53,29,49
731,53,26,50
732,53,30,50
733,53,24,49
734,53,30,50
735,53,26,49
736,53,30,50
737,53,31,50
738,53,26,50
739,53,28,49
740,53,24,50
741,53,26,50
742,53,30,50
743,53,30,50
744,53,25,50
745,53,29,50
746,53,24,49
747,53,30,50
748,53,28,50
749,53,30,50
750,53,29,50
751,53,26,50
752,53,32,50
753,53,27,50
754,53,28,50
755,53,27,50
756,53,32,50
757,53,26,49
758,53,29,49
759,53,33,49
760,53,30,49
761,53,33,50
762,53,25,50
763,53,31,50
764,53,30,50
765,53,31,50
766,53,28,50
767,53,25,49
768,53,25,49
769,53,26,50
770,53,26,50
771,53,27,49
772,53,30,50
773,53,24,50
774,53,26,50
775,53,24,50
776,53,29,50
777,53,25,50
778,53,29,50
779,53,26,49
780,53,26,50
781,53,29,50
782,53,28,50
783,53,29,50
784,53,31,50
785,53,32,50
786,53,24,50
787,53,29,49
788,53,27,49
789,53,28,49
790,53,30,49
791,53,33,50
792,53,26,50
793,53,30,50
794,53,21,49
795,53,25,49
796,53,24,49
797,53,29,50
798,53,30,50
799,53,26,49
800,53,28,49
801,53,29,50
802,53,30,50
803,53,29,49
804,53,27,50
805,53,25,49
806,53,30,50
807,53,31,51
808,53,24,49
809,53,31,50
810,53,28,50
811,53,23,49
812,53,22,49
813,53,30,50
814,53,29,50
815,53,27,49
816,53,27,49
817,53,26,50
818,53,27,50
819,53,29,50
820,53,29,50
821,53,29,50
822,53,29,50
823,53,29,50
824,53,32,50
825,53,27,50
826,53,28,50
827,53,24,50
828,53,24,50
829,53,25,50
830,53,30,50
831,53,30,50
832,53,21,49
833,53,30,49
834,53,24,50
835,53,28,50
836,53,28,50
837,53,32,49
838,53,26,50
839,53,26,50
840,53,24,50
841,53,26,49
842,53,28,50
843,53,30,50
844,53,32,50
845,53,31,50
846,53,22,50
847,53,32,50
848,53,31,50
849,53,34,49
850,53,28,50
851,53,24,50
852,53,29,50
853,53,28,50
854,53,19,50
855,53,25,50
856,53,28,50
857,53,30,50
858,53,23,50
859,53,29,50
860,53,28,50
861,53,29,50
862,53,24,49
863,53,27,50
864,53,30,50
865,53,33,50
866,53,28,50
867,53,32,49
868,53,28,49
869,53,31,50
870,53,26,50
871,53,31,50
872,53,33,50
873,53,27,50
874,53,26,49
875,53,27,49
876,53,28,51
877,53,28,50
878,53,23,50
879,53,31,50
880,53,29,50
881,53,26,49
882,53,29,50
883,53,30,50
884,53,27,50
885,53,32,50
886,53,23,50
887,53,27,50
888,53,29,50
889,53,29,50
890,53,25,49
891,53,29,49
892,53,23,49
893,53,31,49
894,53,34,50
895,53,31,50
896,53,29,49
897,53,27,50
898,53,32,50
899,53,29,50
900,53,30,50
901,53,30,50
902,53,25,49
903,53,27,49
904,53,30,49
905,53,30,49
906,53,30,49
907,53,29,50
908,53,28,50
909,53,24,49
910,53,32,49
911,53,31,49
912,53,30,50
913,53,19,49
914,53,31,50
915,53,28,50
916,53,22,49
917,53,27,49
918,53,31,49
919,53,27,49
920,53,22,49
921,53,28,50
922,53,26,50
923,53,26,50
924,53,26,50
925,53,27,50
926,53,27,50
927,53,26,49
928,53,28,50
929,53,29,50
930,53,26,50
931,53,28,50
932,53,26,50
933,53,30,50
934,53,24,49
935,53,23,49
936,53,28,49
937,53,29,49
938,53,28,50
939,53,31,50
940,53,27,50
941,53,32,50
942,53,30,50
943,53,24,50
944,53,27,51
945,53,29,50
946,53,29,50
947,53,27,49
948,53,30,50
949,53,24,50
950,53,22,50
951,53,28,50
952,53,24,49
953,53,26,49
954,54,26,49
955,54,27,49
956,54,27,50
957,54,28,50
958,54,28,50
959,54,30,49
960,54,32,49
961,54,29,50
962,54,27,50
963,54,23,49
964,55,23,50
965,55,34,50
966,55,28,50
967,55,27,50
968,55,24,50
969,55,30,50
970,55,29,50
971,55,23,50
972,55,31,50
973,55,34,51
974,55,30,50
975,55,32,51
976,55,28,51
977,55,28,51
978,55,32,51
979,55,34,52
980,55,32,51
981,55,33,52
982,55,30,51
983,55,30,52
984,55,26,52
985,55,32,52
986,55,29,51
987,55,28,51
988,55,29,51
989,55,30,52
990,55,26,51
991,55,26,52
992,55,29,51
993,55,26,51
994,55,27,51
995,55,30,52
996,55,33,51
997,55,33,52
998,55,31,52
999,55,26,51
