Generation,Max Fitness, Min Fitness, Average Fitness
0,58,0,7
1,63,0,12
2,74,0,20
3,81,0,28
4,85,0,36
5,118,5,45
6,127,6,54
7,139,9,64
8,147,21,74
9,150,36,84
10,155,44,94
11,173,56,107
12,191,61,119
13,204,67,132
14,207,87,144
15,236,83,155
16,246,79,166
17,251,104,179
18,282,124,193
19,293,113,203
20,323,117,216
21,332,112,235
22,343,163,255
23,355,157,273
24,375,191,288
25,390,212,304
26,404,225,319
27,422,215,336
28,437,210,350
29,465,277,366
30,472,283,382
31,483,297,393
32,501,308,411
33,517,323,422
34,540,328,435
35,541,327,450
36,552,317,462
37,560,308,477
38,573,341,490
39,582,393,506
40,583,396,514
41,612,362,527
42,614,426,541
43,623,407,550
44,625,415,557
45,631,394,564
46,639,459,573
47,645,421,578
48,652,470,590
49,671,439,597
50,673,443,608
51,684,523,623
52,692,413,627
53,722,504,641
54,732,504,651
55,757,578,663
56,757,525,672
57,761,543,679
58,767,498,683
59,799,554,693
60,804,575,703
61,808,537,714
62,820,518,720
63,831,582,735
64,841,609,749
65,849,582,757
66,852,580,767
67,870,575,779
68,871,590,780
69,886,628,790
70,892,605,798
71,903,606,809
72,913,612,818
73,924,625,831
74,932,655,840
75,939,669,846
76,952,681,859
77,954,650,871
78,954,689,883
79,955,660,892
80,963,667,902
81,964,695,904
82,971,673,913
83,976,698,919
84,978,682,918
85,986,709,922
86,988,700,930
87,994,684,928
88,996,716,942
89,996,689,942
90,997,731,953
91,998,645,951
92,1001,698,956
93,1003,649,956
94,1003,755,963
95,1003,694,960
96,1004,622,965
97,1004,719,966
98,1005,680,972
99,1007,695,971
100,1007,719,973
101,1009,708,971
102,1010,776,976
103,1014,673,975
104,1015,633,976
105,1016,720,973
106,1017,736,981
107,1017,794,981
108,1019,754,981
109,1020,686,979
110,1020,721,985
111,1020,660,982
112,1022,653,983
113,1022,691,984
114,1022,730,988
115,1022,649,978
116,1023,720,990
117,1023,728,991
118,1023,701,986
119,1024,652,990
120,1024,674,993
121,1024,767,988
122,1027,758,995
123,1027,697,991
124,1027,750,995
125,1027,769,993
126,1028,716,991
127,1028,709,991
128,1030,654,994
129,1030,701,994
130,1032,703,992
131,1032,726,995
132,1038,707,996
133,1038,692,995
134,1038,694,995
135,1038,672,984
136,1038,719,992
137,1038,691,997
138,1038,716,1002
139,1038,722,1001
140,1038,701,1003
141,1038,728,1001
142,1038,701,1002
143,1038,709,999
144,1038,722,997
145,1038,704,999
146,1039,689,1003
147,1039,693,997
148,1039,706,1001
149,1039,655,1000
150,1040,750,1009
151,1040,711,998
152,1040,720,999
153,1041,722,1004
154,1041,707,1004
155,1041,761,1001
156,1041,651,996
157,1042,715,1003
158,1043,709,1001
159,1043,801,1005
160,1043,733,1008
161,1046,726,1010
162,1047,707,1007
163,1047,705,1010
164,1048,627,1001
165,1049,715,1008
166,1049,766,1016
167,1051,714,1009
168,1052,709,1010
169,1053,624,1007
170,1053,709,1013
171,1054,723,1011
172,1054,719,1016
173,1054,702,1014
174,1056,716,1017
175,1056,712,1014
176,1058,705,1019
177,1059,769,1020
178,1059,716,1023
179,1060,625,1019
180,1062,716,1024
181,1062,717,1017
182,1063,644,1014
183,1063,740,1025
184,1066,676,1018
185,1066,722,1022
186,1066,724,1026
187,1067,731,1018
188,1068,692,1015
189,1068,709,1014
190,1068,724,1016
191,1069,697,1018
192,1074,811,1025
193,1074,718,1026
194,1076,705,1019
195,1078,717,1025
196,1079,758,1028
197,1082,697,1021
198,1082,720,1025
199,1082,667,1027
200,1083,734,1032
201,1083,717,1034
202,1084,722,1036
203,1084,719,1033
204,1084,802,1035
205,1085,699,1038
206,1085,715,1026
207,1090,695,1034
208,1091,709,1033
209,1091,732,1037
210,1091,706,1039
211,1091,647,1043
212,1091,701,1037
213,1091,726,1039
214,1093,814,1042
215,1094,709,1046
216,1094,722,1045
217,1095,653,1037
218,1097,738,1043
219,1097,779,1050
220,1100,712,1053
221,1102,822,1052
222,1102,659,1048
223,1102,651,1040
224,1104,670,1043
225,1104,712,1044
226,1106,701,1048
227,1106,674,1046
228,1109,736,1058
229,1111,731,1050
230,1111,723,1057
231,1111,707,1059
232,1112,735,1064
233,1114,736,1067
234,1115,729,1065
235,1115,666,1061
236,1117,674,1052
237,1119,713,1067
238,1119,814,1075
239,1123,630,1063
240,1123,720,1067
241,1123,729,1067
