Generation,Max Fitness, Min Fitness, Average Fitness
1,6,0,3
2,7,1,3
3,8,0,4
4,10,1,4
5,11,1,5
6,11,1,5
7,12,1,5
8,15,1,6
9,16,1,6
10,19,1,7
11,19,2,8
12,20,2,8
13,22,2,9
14,24,2,10
15,25,2,11
16,25,2,12
17,30,3,13
18,35,3,14
19,35,2,15
20,38,3,16
21,38,4,18
22,40,5,19
23,42,5,21
24,42,7,22
25,45,5,23
26,45,6,25
27,48,6,26
28,49,9,28
29,49,7,29
30,49,11,30
31,49,8,31
32,49,6,32
33,49,9,33
34,49,8,33
35,50,12,34
36,51,12,35
37,51,14,36
38,51,13,36
39,52,12,37
40,53,13,37
41,53,14,37
42,53,11,38
43,53,19,38
44,53,11,38
45,53,13,38
46,53,15,39
47,53,15,39
48,53,15,40
49,53,15,40
50,53,16,41
51,53,15,41
52,53,17,41
53,53,13,42
54,53,15,42
55,53,18,42
56,53,11,42
57,53,14,42
58,53,15,43
59,53,15,43
60,53,18,44
61,53,14,43
62,53,16,44
63,53,13,44
64,53,15,44
65,53,16,44
66,53,18,44
67,53,16,44
68,53,15,45
69,53,17,45
70,53,22,45
71,53,20,45
72,53,16,45
73,53,18,45
74,53,19,46
75,53,17,46
76,53,19,46
77,53,18,46
78,53,17,46
79,53,18,46
80,53,17,46
81,53,19,46
82,53,20,46
83,53,19,46
84,53,20,46
85,53,17,46
86,53,17,46
87,53,19,46
88,53,17,46
89,53,16,46
90,53,21,46
91,53,21,46
92,53,16,46
93,53,16,46
94,53,19,46
95,53,18,46
96,53,12,46
97,53,17,46
98,53,16,46
99,53,17,46
100,53,17,46
101,53,19,46
102,53,15,46
103,53,18,46
104,53,18,46
105,53,18,46
106,53,16,46
107,53,19,46
108,53,18,46
109,53,16,46
110,53,18,46
111,53,17,46
112,53,16,46
113,53,17,46
114,53,18,46
115,53,19,46
116,53,21,46
117,53,18,46
118,53,19,45
119,53,16,46
120,53,18,46
121,53,18,46
122,53,15,46
123,53,14,46
124,53,15,46
125,53,18,46
126,53,19,46
127,53,17,46
128,53,19,46
129,53,17,46
130,53,18,46
131,53,16,46
132,53,16,46
133,53,20,46
134,53,16,46
135,53,19,46
136,53,16,46
137,53,20,46
138,53,15,46
139,53,17,46
140,53,20,46
141,53,18,46
142,53,19,46
143,53,19,46
144,53,19,46
145,53,19,46
146,53,19,46
147,53,17,46
148,53,15,46
149,53,18,46
150,53,16,46
151,53,20,46
152,53,22,46
153,53,19,46
154,53,24,46
155,53,18,46
156,53,20,46
157,53,20,46
158,53,18,46
159,53,19,46
160,53,14,46
161,53,21,46
162,53,16,46
163,53,20,46
164,53,17,46
165,53,17,46
166,53,19,47
167,53,17,46
168,53,16,46
169,53,19,46
170,53,17,46
171,53,14,46
172,53,20,46
173,53,16,46
174,53,21,46
175,53,22,46
176,53,20,46
177,53,19,46
178,53,19,46
179,53,19,46
180,53,20,46
181,53,19,46
182,53,19,46
183,53,18,46
184,53,15,46
185,53,14,46
186,53,20,46
187,53,14,46
188,53,20,46
189,53,18,46
190,53,15,46
191,53,16,46
192,53,19,46
193,53,18,46
194,53,19,46
195,53,17,46
196,53,20,46
197,53,14,46
198,53,18,46
199,53,20,46
200,53,16,46
201,53,20,46
202,53,17,46
203,53,20,46
204,53,21,46
205,53,18,46
206,53,18,46
207,53,18,46
208,53,19,46
209,53,15,46
210,53,17,46
211,53,15,46
212,53,16,46
213,53,18,46
214,53,17,45
215,53,16,46
216,53,14,46
217,53,19,46
218,53,20,46
219,53,17,46
220,53,19,46
221,53,15,46
222,53,18,45
223,53,14,46
224,53,17,46
225,53,14,45
226,53,17,46
227,53,19,46
228,53,17,46
229,53,13,46
230,53,16,46
231,53,17,46
232,53,19,46
233,53,16,46
234,53,17,46
235,53,12,46
236,53,16,46
237,53,17,46
238,53,15,45
239,53,18,46
240,53,18,46
241,53,15,46
242,53,19,46
243,53,19,46
244,53,17,46
245,53,16,46
246,53,17,46
247,53,14,46
248,53,16,46
249,53,19,46
250,53,14,45
251,53,13,45
252,53,15,46
253,53,20,46
254,53,17,46
255,53,17,46
256,53,16,46
257,53,15,45
258,53,20,46
259,53,20,46
260,53,17,46
261,53,17,46
262,53,16,46
263,53,18,46
264,53,14,46
265,53,13,46
266,53,18,46
267,53,16,46
268,53,16,46
269,53,18,46
270,53,16,46
271,53,19,46
272,53,15,46
273,53,17,46
274,53,20,46
275,53,17,46
276,53,13,46
277,53,12,46
278,53,21,46
279,53,18,46
280,53,18,46
281,53,18,45
282,53,18,46
283,53,17,46
284,53,20,46
285,53,17,46
286,53,15,46
287,53,17,46
288,53,18,46
289,53,18,46
290,53,16,46
291,53,19,46
292,53,14,46
293,53,18,46
294,53,16,46
295,53,19,46
296,53,20,46
297,53,19,46
298,53,16,45
299,53,16,46
300,53,14,46
301,53,15,46
302,53,18,46
303,53,18,46
304,53,16,45
305,53,14,46
306,53,17,46
307,53,18,46
308,53,21,46
309,53,16,46
310,53,14,46
311,53,17,46
312,53,16,46
313,53,18,46
314,53,18,46
315,53,12,46
316,53,18,46
317,53,16,46
318,53,18,46
319,53,19,46
320,53,17,46
321,53,20,46
322,53,16,46
323,53,18,45
324,53,14,45
325,53,17,46
326,53,17,46
327,53,20,46
328,53,13,46
329,53,18,46
330,53,17,46
331,53,15,46
332,53,17,46
333,53,18,46
334,53,19,46
335,53,16,46
336,53,14,46
337,53,21,46
338,53,17,46
339,53,18,46
340,53,18,46
341,53,17,46
342,53,20,46
343,53,16,45
344,53,20,45
345,53,17,46
346,53,18,46
347,53,16,46
348,53,17,46
349,53,17,46
350,53,17,46
351,53,15,46
352,53,16,47
353,53,14,46
354,53,14,46
355,53,21,46
356,53,18,46
357,53,16,46
358,53,15,45
359,53,12,45
360,53,17,45
361,53,19,46
362,53,16,46
363,53,16,46
364,53,14,46
365,53,17,46
366,53,19,46
367,53,17,46
368,53,18,46
369,53,16,46
370,53,19,46
371,53,15,46
372,53,16,46
373,53,17,46
374,53,18,46
375,53,18,46
376,53,17,46
377,53,19,46
378,53,17,45
379,53,18,46
380,53,17,46
381,53,19,46
382,53,17,46
383,53,19,46
384,53,20,46
385,53,16,46
386,53,17,46
387,53,16,46
388,53,16,45
389,53,19,46
390,53,16,45
391,53,16,46
392,53,20,46
393,53,15,46
394,53,19,45
395,53,19,45
396,53,16,45
397,53,13,45
398,53,15,46
399,53,18,45
400,53,20,46
401,53,17,46
402,53,17,46
403,53,18,46
404,53,17,46
405,53,18,46
406,53,18,46
407,53,17,46
408,53,20,46
409,53,16,46
410,53,21,46
411,53,15,46
412,53,13,46
413,53,16,46
414,53,21,46
415,53,19,46
416,53,16,46
417,53,19,46
418,53,21,46
419,53,17,46
420,53,18,46
421,53,15,46
422,53,17,46
423,53,15,45
424,53,18,46
425,53,18,46
426,53,17,46
427,53,13,46
428,53,13,46
429,53,18,45
430,53,15,46
431,53,18,46
432,53,12,46
433,53,14,46
434,53,17,46
435,53,17,46
436,53,15,46
437,53,18,46
438,53,19,46
439,53,19,46
440,53,17,46
441,53,18,46
442,53,21,46
443,53,16,46
444,53,17,46
445,53,17,46
446,53,19,46
447,53,16,46
448,53,18,46
449,53,20,46
450,53,18,46
451,53,15,46
452,53,15,47
453,53,18,46
454,53,17,46
455,53,21,46
456,53,20,46
457,53,17,46
458,53,19,45
459,53,17,46
460,53,17,46
461,53,16,46
462,53,15,46
463,53,17,46
464,53,19,46
465,53,13,46
466,53,17,46
467,53,12,46
468,53,18,46
469,53,16,46
470,53,19,46
471,53,16,46
472,53,16,46
473,53,17,46
474,53,19,46
475,53,18,46
476,53,16,46
477,53,18,46
478,53,17,46
479,53,15,46
480,53,17,46
481,53,18,46
482,53,15,46
483,53,18,46
484,53,16,45
485,53,18,45
486,53,20,45
487,53,17,45
488,53,18,45
489,53,17,46
490,53,17,46
491,53,15,46
492,53,19,46
493,53,13,46
494,53,18,46
495,53,20,46
496,53,13,46
497,53,16,46
498,53,17,46
499,53,20,46
500,53,19,46
501,53,16,46
502,53,17,46
503,53,14,46
504,53,14,46
505,53,13,46
506,53,16,46
507,53,18,45
508,53,16,46
509,53,17,46
510,53,19,46
511,53,11,46
512,53,17,46
513,53,13,46
514,53,17,46
515,53,20,46
516,53,19,46
517,53,19,46
518,53,18,46
519,53,17,46
520,53,18,46
521,53,16,46
522,53,15,46
523,53,17,45
524,53,18,46
525,53,15,46
526,53,16,46
527,53,16,46
528,53,14,46
529,53,16,46
530,53,18,45
531,53,19,45
532,53,12,46
533,53,18,46
534,53,17,46
535,53,18,45
536,53,17,45
537,53,18,46
538,53,14,46
539,53,14,46
540,53,14,46
541,53,17,46
542,53,10,46
543,53,16,46
544,53,16,46
545,53,14,46
546,53,20,46
547,53,18,46
548,53,17,46
549,53,17,46
550,53,20,46
551,53,17,46
552,53,17,46
553,53,14,46
554,53,19,46
555,53,16,46
556,53,13,46
557,53,18,46
558,53,18,46
559,53,19,46
560,53,15,46
561,53,16,46
562,53,17,46
563,53,19,46
564,53,17,46
565,53,13,46
566,53,19,46
567,53,16,45
568,53,16,46
569,53,15,46
570,53,19,46
571,53,17,46
572,53,17,46
573,53,17,46
574,53,14,46
575,53,14,46
576,53,14,46
577,53,14,46
578,53,10,46
579,53,17,46
580,53,17,46
581,53,12,46
582,53,15,46
583,53,19,46
584,53,18,46
585,53,15,45
586,53,14,46
587,53,15,46
588,53,16,46
589,53,18,46
590,53,16,46
591,53,19,46
592,53,18,46
593,53,18,46
594,53,16,46
595,53,18,46
596,53,18,45
597,53,17,46
598,53,15,46
599,53,17,45
600,53,18,46
601,53,17,46
602,53,18,46
603,53,21,46
604,53,15,46
605,53,19,46
606,53,20,46
607,53,18,46
608,53,20,46
609,53,22,46
610,53,18,46
611,53,18,46
612,53,16,46
613,53,20,45
614,53,17,46
615,53,19,46
616,53,17,46
617,53,16,46
618,53,17,46
619,53,18,46
620,53,15,45
621,53,17,45
622,53,13,45
623,53,20,45
624,53,11,45
625,53,11,45
626,53,17,45
627,53,19,45
628,53,17,46
629,53,19,46
630,53,17,46
631,53,18,45
632,53,19,46
633,53,17,46
634,53,15,46
635,53,15,46
636,53,16,46
637,53,16,46
638,53,15,46
639,53,16,46
640,53,17,46
