Generation,Max Fitness, Min Fitness, Average Fitness
1,5,0,2
2,6,0,3
3,6,0,3
4,6,1,3
5,6,1,4
6,7,1,4
7,7,1,4
8,8,2,4
9,8,2,4
10,8,2,4
11,8,1,4
12,9,1,4
13,10,2,5
14,10,2,5
15,10,1,5
16,11,2,6
17,12,2,7
18,13,2,7
19,14,2,7
20,14,3,8
21,15,3,8
22,17,3,9
23,18,2,9
24,18,4,10
25,19,4,10
26,20,4,11
27,20,5,12
28,21,3,12
29,22,6,13
30,24,5,15
31,25,5,15
32,27,7,16
33,28,8,17
34,29,7,18
35,31,7,20
36,35,11,21
37,37,12,22
38,38,15,24
39,39,13,25
40,39,11,26
41,40,12,28
42,41,14,29
43,42,14,30
44,42,18,32
45,43,18,34
46,44,22,35
47,45,22,37
48,46,23,38
49,46,25,39
50,46,25,40
51,49,22,41
52,49,21,41
53,49,27,42
54,49,24,43
55,49,26,43
56,49,30,44
57,50,22,45
58,50,29,45
59,50,27,46
60,50,29,47
61,50,29,47
62,50,32,48
63,50,30,48
64,50,28,48
65,50,29,48
66,50,33,49
67,51,30,49
68,51,27,49
69,51,33,49
70,51,29,49
71,51,34,49
72,51,33,49
73,51,30,50
74,51,26,50
75,51,31,50
76,51,26,50
77,51,30,50
78,51,31,50
79,52,28,50
80,52,29,50
81,52,31,50
82,52,31,50
83,52,28,50
84,52,29,50
85,52,32,50
86,52,31,50
87,52,29,50
88,52,29,51
89,52,28,51
90,53,34,51
91,53,30,51
92,53,29,51
93,53,29,51
94,53,32,51
95,53,30,51
96,53,32,51
97,53,33,51
98,54,32,51
99,54,30,51
100,54,32,51
101,54,32,51
102,54,33,51
103,54,30,51
104,54,32,51
105,54,29,51
106,54,28,52
107,54,34,52
108,54,30,52
109,54,30,52
110,54,32,52
111,54,33,53
112,54,32,53
113,54,31,53
114,54,38,53
115,54,36,53
116,54,34,53
117,54,29,53
118,54,31,53
119,54,33,53
120,54,33,53
121,54,30,53
122,54,32,53
123,54,30,53
124,54,29,53
125,54,31,53
126,54,34,53
127,54,33,53
128,54,32,53
129,54,28,53
130,54,30,53
131,54,29,53
132,54,33,53
133,54,32,53
134,54,32,53
135,54,34,53
136,54,35,53
137,54,30,53
138,54,30,53
139,54,36,53
140,54,32,53
141,54,36,53
142,54,34,53
143,54,32,53
144,54,32,53
145,54,33,53
146,54,32,53
147,54,36,53
148,54,30,53
149,54,33,53
150,54,37,53
151,54,34,53
152,54,33,53
153,54,36,53
154,54,37,53
155,54,28,53
156,54,33,53
157,54,38,53
158,54,32,53
159,54,33,53
160,54,32,53
161,54,37,53
162,54,34,53
163,54,34,53
164,54,32,53
165,54,37,53
166,54,34,53
167,54,32,53
168,54,34,53
169,54,34,53
170,54,34,53
171,54,30,53
172,54,30,53
173,54,34,53
174,54,33,53
175,54,35,53
176,54,32,53
177,54,36,53
178,54,36,53
179,54,35,53
180,54,34,53
181,54,34,53
182,54,35,53
183,54,33,53
184,54,29,53
185,54,38,53
186,54,36,53
187,54,32,53
188,54,30,53
189,54,34,53
190,54,36,53
191,54,35,53
192,54,28,53
193,54,33,53
194,54,32,53
195,54,37,53
196,54,33,53
197,54,35,53
198,54,31,53
199,54,30,53
200,54,35,53
201,54,33,53
202,54,32,53
203,54,27,53
204,54,34,53
205,54,34,53
206,54,33,53
207,54,35,53
208,54,37,53
209,54,36,53
210,54,32,53
211,54,32,53
212,54,30,53
213,54,37,53
214,54,33,53
215,54,34,53
216,54,27,53
217,54,35,53
218,55,32,53
219,55,33,53
220,55,28,53
221,55,33,53
222,55,35,53
223,55,33,53
224,55,36,53
225,55,34,53
226,55,32,53
227,55,35,53
228,55,35,53
229,55,31,53
230,55,33,53
231,55,27,53
232,55,35,53
233,55,28,53
234,55,32,53
235,55,30,53
236,55,30,53
237,55,34,53
238,55,35,53
239,55,37,53
240,55,30,53
241,55,36,53
242,55,30,53
243,55,30,53
244,55,36,53
245,55,31,53
246,55,32,53
247,55,32,53
248,55,34,53
249,55,29,53
250,55,30,53
251,55,36,53
252,55,32,53
