Generation,Max Fitness, Min Fitness, Average Fitness
1,4,0,2
2,5,0,2
3,6,0,2
4,6,0,3
5,7,0,3
6,8,1,3
7,9,1,4
8,9,1,4
9,11,1,4
10,13,1,5
11,14,0,5
12,15,1,6
13,18,1,7
14,20,1,7
15,20,2,8
16,22,1,10
17,26,3,10
18,27,2,12
19,30,4,13
20,32,3,15
21,34,3,16
22,34,3,18
23,38,2,20
24,40,5,21
25,41,4,23
26,43,4,25
27,43,5,26
28,43,3,28
29,43,10,29
30,43,7,30
31,43,5,32
32,44,7,32
33,44,8,33
34,44,10,34
35,44,10,35
36,44,10,35
37,44,11,35
38,44,8,36
39,44,7,36
40,44,13,36
41,44,11,36
42,44,10,36
43,44,17,37
44,46,10,37
45,46,10,37
46,46,9,37
47,46,11,37
48,46,8,37
49,46,9,37
50,46,9,38
51,46,9,38
52,46,12,39
53,46,10,38
54,46,11,39
55,47,12,39
56,47,12,38
57,47,10,39
58,47,11,39
59,47,12,39
60,47,10,38
61,47,12,40
62,48,13,40
63,48,8,40
64,48,15,40
65,49,12,40
66,49,14,40
67,49,15,41
68,49,11,40
69,49,14,40
70,49,8,41
71,50,13,41
72,50,11,41
73,50,10,41
74,50,13,41
75,50,14,41
76,50,11,41
77,50,17,42
78,50,14,41
79,50,13,41
80,50,11,41
81,50,14,42
82,50,15,42
83,50,15,42
84,50,12,43
85,50,12,42
86,50,17,42
87,50,18,43
88,50,10,43
89,50,12,43
90,50,10,43
91,50,13,43
92,50,14,43
93,50,16,43
94,50,14,43
95,50,20,44
96,50,15,44
97,50,14,43
98,50,12,44
99,50,11,44
100,50,14,43
101,50,16,44
102,50,17,44
103,50,18,44
104,50,16,44
105,50,15,44
106,50,14,44
107,50,14,44
108,50,16,43
109,50,17,44
110,50,16,44
111,50,16,44
112,50,16,43
113,50,16,44
114,50,16,44
115,50,12,44
116,50,13,44
117,50,18,43
118,50,19,43
119,50,13,43
120,50,12,44
121,50,17,43
122,50,15,44
123,50,12,44
124,50,10,43
125,50,16,44
126,50,15,44
127,50,14,44
128,50,17,43
129,50,16,44
130,50,15,44
131,50,14,43
132,50,18,43
133,50,12,44
134,50,14,43
135,50,13,44
136,50,16,44
137,50,18,44
138,50,18,44
139,50,16,44
140,50,11,44
141,50,16,44
142,50,16,44
