Generation,Max Fitness, Min Fitness, Average Fitness
1,6,0,2
2,7,0,3
3,7,0,3
4,9,0,4
5,11,1,4
6,12,0,4
7,15,1,5
8,16,1,5
9,18,1,5
10,19,0,6
11,20,1,7
12,21,1,8
13,25,0,9
14,27,1,10
15,28,1,11
16,29,1,12
17,32,2,14
18,36,1,15
19,36,1,17
20,37,2,18
21,40,2,20
22,41,2,21
23,42,2,22
24,42,2,23
25,43,2,24
26,43,4,26
27,44,4,26
28,44,2,27
29,45,3,28
30,46,2,29
31,46,5,30
32,46,3,31
33,46,4,32
34,46,2,33
35,46,4,33
36,46,6,34
37,46,5,35
38,46,4,35
39,46,6,36
40,46,7,36
41,46,10,36
42,47,7,37
43,47,9,37
44,47,8,37
45,47,10,37
46,47,10,38
47,47,9,38
48,47,8,38
49,47,9,38
50,47,11,38
51,47,11,38
52,47,8,38
53,47,9,39
54,47,12,39
55,48,10,39
56,48,9,39
57,48,9,39
58,48,8,39
59,48,8,39
60,48,8,39
61,48,7,39
62,48,11,39
63,48,10,40
64,48,9,39
65,48,10,40
66,48,7,39
67,48,10,40
68,48,7,40
69,48,9,40
70,48,6,40
71,48,9,40
72,48,7,40
73,48,10,40
74,48,9,40
75,48,7,40
76,48,8,40
77,48,11,40
78,48,12,40
79,48,11,40
80,48,6,40
81,48,10,40
82,49,10,41
83,49,9,41
84,49,9,40
85,49,8,40
86,49,11,40
87,49,8,40
88,49,6,40
89,49,12,40
90,50,9,40
91,50,9,40
92,50,7,40
93,50,9,40
94,50,10,41
95,50,11,41
96,50,9,41
97,50,10,41
98,50,8,41
99,50,12,41
100,50,9,40
101,50,7,41
102,50,10,40
103,50,12,41
104,50,10,41
105,50,13,40
106,50,7,40
107,50,11,41
108,50,6,41
109,50,9,41
110,50,9,41
111,50,7,41
112,50,11,41
113,50,10,41
114,50,7,41
115,50,8,40
116,50,10,41
117,50,11,41
118,50,8,40
119,50,9,40
120,50,5,41
121,50,10,41
122,50,12,41
123,50,10,41
124,50,12,41
125,50,10,41
126,50,7,41
127,51,8,41
128,51,9,41
129,52,9,41
130,52,10,41
131,52,7,41
132,52,10,41
133,52,11,41
134,52,10,41
135,52,10,41
136,52,8,41
137,52,11,41
138,52,10,42
139,52,13,41
140,52,9,41
141,52,8,42
142,52,12,41
143,52,8,41
144,52,11,42
145,52,10,41
146,52,12,41
147,52,6,41
148,52,11,41
149,52,9,41
150,52,7,41
151,52,11,41
152,52,10,41
153,52,10,41
154,52,10,41
155,52,10,41
156,52,7,41
157,52,8,41
158,52,11,41
159,52,10,41
160,52,8,41
161,52,8,41
162,52,8,41
163,52,10,41
164,52,8,41
165,52,6,41
166,52,9,41
167,52,12,41
168,52,6,41
169,52,8,41
170,52,10,41
171,52,8,41
172,52,10,41
173,52,9,41
174,52,11,41
175,52,10,40
176,52,7,40
177,52,8,40
178,52,8,40
179,52,8,40
180,52,9,41
181,52,9,41
182,52,10,41
183,52,11,41
184,52,11,41
185,52,11,41
186,52,12,41
187,52,10,41
188,52,12,41
189,52,10,41
190,52,6,41
191,52,11,41
192,52,12,41
193,52,7,41
194,52,8,41
195,52,10,41
196,52,11,41
197,52,10,41
198,52,8,41
199,52,8,41
200,52,8,41
201,52,7,41
202,52,7,41
203,52,9,41
204,52,7,41
205,52,12,41
206,52,7,42
207,52,10,42
208,52,8,42
209,52,8,42
210,52,10,42
211,52,7,42
212,52,9,42
213,52,6,42
214,52,12,42
215,52,10,42
216,52,6,42
217,52,10,42
218,52,11,42
219,52,10,42
220,52,8,42
221,52,12,42
222,52,11,42
223,52,10,42
224,52,10,42
225,52,10,42
226,52,10,42
227,52,14,42
228,52,10,42
229,52,11,42
230,52,9,42
231,52,7,42
232,52,10,42
233,52,10,42
234,52,9,42
235,52,13,42
236,52,10,42
237,52,10,42
238,52,9,42
239,52,12,42
240,52,10,42
241,52,9,42
242,52,10,42
243,52,11,42
244,52,9,42
245,52,12,42
246,52,10,42
247,52,9,42
248,52,12,42
249,52,8,42
250,52,12,42
251,52,10,42
252,52,10,42
253,52,7,42
254,52,7,42
255,52,9,42
256,52,12,42
257,52,7,42
258,52,11,41
259,52,8,42
260,52,8,42
261,52,9,41
262,52,7,42
263,52,10,42
264,52,11,42
265,52,10,42
266,52,10,42
267,52,8,42
268,52,10,42
269,52,8,42
270,52,9,42
271,52,9,42
272,52,8,42
273,52,10,42
274,52,10,42
275,52,9,42
276,52,10,42
277,52,11,42
278,52,10,42
279,52,8,42
280,52,12,42
281,52,9,42
282,52,12,42
283,52,12,42
284,52,9,42
285,52,13,42
286,52,9,42
287,52,11,42
288,52,10,42
289,52,11,42
290,52,10,42
291,52,11,42
292,52,10,42
293,52,11,42
294,52,8,42
295,52,10,42
296,52,10,42
297,52,8,42
298,52,10,42
299,52,9,42
300,52,10,42
301,52,10,42
302,52,11,42
303,52,13,42
304,52,12,42
305,52,11,42
306,52,11,42
307,52,8,42
308,52,10,42
309,52,10,42
310,52,7,42
311,52,12,42
312,52,10,42
313,52,9,42
314,52,10,42
315,52,9,42
316,52,11,42
317,52,10,42
318,52,8,42
319,52,9,42
320,52,7,42
321,52,8,42
322,52,7,42
323,52,9,42
324,52,6,42
325,52,8,42
326,52,9,42
327,52,9,42
328,52,9,41
329,52,9,42
330,52,11,42
331,52,8,42
332,52,10,42
333,52,10,42
334,52,8,42
335,52,11,42
336,52,13,42
337,52,9,42
338,52,8,42
339,52,11,42
340,52,12,42
341,52,13,43
342,52,11,42
343,52,11,42
344,52,10,42
345,52,8,42
346,52,9,43
347,52,11,42
348,52,12,42
349,52,12,42
350,52,8,42
351,52,9,42
352,52,10,42
353,52,9,42
354,52,10,42
355,52,13,42
356,52,8,42
357,52,10,42
358,52,11,42
359,52,8,42
360,52,9,42
361,52,9,42
362,52,9,42
363,52,12,42
364,52,8,42
365,52,11,42
366,52,11,42
367,52,10,42
368,52,14,43
369,52,13,42
370,52,9,42
371,52,10,42
372,52,12,42
373,52,11,42
374,52,11,42
375,52,10,42
376,52,7,42
377,52,10,42
378,52,3,42
379,52,11,42
380,52,11,42
381,52,12,42
382,52,11,42
383,52,11,42
384,52,9,42
385,52,5,42
386,52,11,42
387,52,14,42
388,52,9,42
389,52,3,42
390,52,11,42
391,52,9,42
392,52,10,42
393,52,11,42
394,52,9,42
395,52,9,42
396,52,9,42
397,52,3,42
398,52,10,42
399,52,11,42
400,52,13,42
401,52,12,42
402,52,10,42
403,52,9,42
404,52,10,42
405,52,8,42
406,52,10,42
