Generation,Max Fitness, Min Fitness, Average Fitness
0,32,0,6
1,57,0,9
2,57,0,12
3,79,0,18
4,83,1,22
5,84,1,31
6,85,0,31
7,103,6,46
8,103,4,44
9,110,6,64
10,126,18,61
11,139,34,78
12,139,37,75
13,144,47,91
14,147,29,90
15,159,66,108
16,160,47,105
17,168,74,122
18,173,74,118
19,178,76,136
20,184,90,130
21,208,86,150
22,209,102,145
23,224,116,165
24,224,118,156
25,238,121,180
26,238,121,170
27,255,118,195
28,255,106,184
29,270,117,210
30,274,136,196
31,299,174,230
32,302,150,217
33,320,192,253
34,327,172,236
35,347,211,277
36,353,190,254
37,371,241,300
38,371,211,274
39,387,242,321
40,387,235,296
41,410,275,338
42,410,260,311
43,416,289,354
44,420,264,325
45,439,309,373
46,439,280,339
47,453,312,386
48,453,297,356
49,474,342,401
50,477,301,372
51,483,341,416
52,483,333,391
53,494,364,431
54,497,338,411
55,513,380,448
56,513,368,424
57,527,400,459
58,527,365,438
59,536,403,472
60,536,403,460
61,550,438,490
62,551,411,472
63,579,438,502
64,579,415,490
65,592,433,514
66,592,430,502
67,600,450,525
68,600,443,514
69,609,457,542
70,609,442,522
71,626,471,550
72,626,470,531
73,631,471,561
74,634,461,538
75,650,501,571
76,654,468,545
77,658,507,581
78,661,491,557
79,666,523,593
80,673,487,568
81,675,520,600
82,675,492,572
83,681,525,603
84,681,500,577
85,687,534,609
86,706,495,587
87,706,544,616
88,706,522,599
89,709,558,619
90,709,527,606
91,718,544,628
92,718,537,609
93,718,573,632
94,718,542,616
95,718,566,634
96,718,542,619
97,718,558,634
98,718,553,625
99,722,560,636
100,729,565,628
101,729,556,640
102,729,539,628
103,729,582,643
104,729,567,631
105,733,584,645
106,733,562,634
107,734,574,647
108,734,571,635
109,738,580,649
110,738,551,637
111,739,587,649
112,739,566,636
113,742,566,648
114,742,566,640
115,744,581,654
116,746,571,644
117,746,573,653
118,746,591,644
119,751,574,657
120,751,584,644
121,751,591,656
122,751,571,645
123,751,581,657
124,751,581,647
125,751,593,664
126,752,598,652
127,754,598,661
128,754,586,649
129,754,599,662
130,754,587,648
131,754,578,660
132,754,576,651
133,756,596,664
134,756,581,653
135,756,593,666
136,757,568,653
137,757,593,666
138,757,573,652
139,757,599,666
140,757,595,651
141,760,598,663
142,760,585,651
143,760,605,664
144,760,585,649
145,760,591,659
146,760,574,646
147,760,587,659
148,760,581,645
149,760,593,660
150,760,576,649
151,760,595,659
152,760,585,648
153,760,595,661
154,760,575,649
155,760,585,660
156,760,589,649
157,760,603,661
158,760,570,647
159,760,589,657
160,760,583,646
161,760,591,661
162,760,564,650
163,760,581,662
164,760,586,650
165,760,574,661
166,760,594,650
167,760,597,658
168,760,580,648
169,760,594,659
170,760,592,650
171,760,576,659
172,760,586,649
173,760,590,662
174,760,598,653
175,760,587,662
176,760,577,650
177,760,590,665
178,760,587,652
179,760,598,664
180,761,590,655
181,761,596,669
182,761,603,657
183,761,608,667
184,761,597,652
185,761,586,662
186,761,590,650
187,761,590,665
188,761,587,654
189,761,591,663
190,761,588,652
191,761,595,664
192,761,589,648
193,761,596,663
194,761,582,648
195,761,593,660
196,761,581,650
197,761,592,661
198,761,580,648
199,761,586,660
200,761,583,648
201,761,604,661
202,761,590,647
203,761,586,659
