Generation,Max Fitness, Min Fitness, Average Fitness
1,5,0,2
3,5,1,2
5,5,1,3
7,6,1,3
9,7,1,3
11,7,0,3
13,7,1,4
15,7,2,4
17,8,2,4
19,8,2,4
21,8,2,4
23,8,2,4
25,9,3,5
27,10,3,5
29,10,2,6
31,11,3,6
33,12,4,6
35,12,3,7
37,13,3,8
39,14,4,8
41,15,4,9
43,16,5,10
45,16,5,10
47,18,5,11
49,18,6,12
51,18,5,12
53,18,7,13
55,18,7,14
57,18,7,14
59,18,8,14
61,18,9,15
63,18,7,15
65,18,7,15
67,18,9,15
69,18,9,15
71,18,9,15
73,19,9,16
75,19,9,16
77,19,10,16
79,19,10,16
81,19,9,16
83,19,8,16
85,19,10,16
87,19,9,16
89,19,9,16
91,19,9,16
93,19,9,16
95,19,9,16
97,19,9,16
99,19,9,16
101,19,6,16
103,19,9,16
105,19,6,16
107,19,9,16
109,19,8,16
111,19,9,16
113,19,8,16
115,19,9,16
117,19,10,16
119,19,7,16
121,19,9,16
123,19,7,16
125,19,7,16
127,19,8,16
129,19,8,16
131,19,9,16
133,19,7,16
135,19,8,16
137,19,9,16
139,19,6,16
141,19,7,16
143,19,7,16
145,19,9,16
147,19,8,16
149,19,8,17
151,19,10,17
153,19,9,17
155,19,8,17
157,19,8,17
159,19,8,17
161,19,9,17
163,19,8,16
165,19,9,16
167,19,9,17
169,19,8,17
171,19,10,17
173,19,8,17
175,19,9,17
177,19,9,17
179,19,6,17
181,19,8,17
183,19,6,17
185,19,8,16
187,19,8,16
189,19,8,16
191,19,7,16
193,19,6,16
195,19,9,17
197,19,9,16
199,19,7,16
201,19,8,17
203,19,8,16
205,19,8,16
207,19,9,17
209,19,8,17
211,19,5,16
213,19,8,17
215,19,6,16
217,19,9,17
219,19,9,17
221,19,7,16
223,19,9,17
225,19,9,17
227,19,8,17
229,19,9,17
231,19,9,17
233,19,8,17
235,19,8,17
237,19,8,17
239,19,6,17
241,19,9,16
243,19,8,16
245,19,9,17
247,19,8,17
249,19,7,16
251,19,8,17
253,19,7,17
255,19,8,17
257,19,7,16
259,19,8,17
261,19,8,17
263,19,7,17
265,19,7,17
267,19,10,17
269,19,9,17
271,19,9,17
273,19,8,16
275,19,9,17
277,19,9,16
279,19,8,16
281,19,8,16
283,19,9,17
285,19,8,17
287,19,7,17
289,19,8,17
291,19,9,17
293,19,6,17
295,19,7,17
297,19,9,17
299,19,9,17
301,19,7,17
303,19,9,17
305,19,8,16
307,19,9,16
309,19,8,17
311,19,9,16
313,19,9,17
315,19,8,16
317,19,9,17
319,19,6,17
321,19,10,17
323,19,9,17
325,19,9,17
327,19,6,16
329,19,9,16
331,19,8,16
333,19,8,17
335,19,8,16
337,19,8,16
339,19,7,16
341,19,9,17
343,19,8,17
345,19,10,17
347,19,8,17
349,19,9,16
351,19,8,17
353,19,8,16
355,19,9,16
357,19,8,16
359,19,8,17
361,19,8,17
363,19,7,16
365,19,8,17
367,19,9,17
369,19,7,16
371,19,8,16
373,19,8,16
375,19,9,16
377,19,8,17
379,19,10,16
381,19,8,17
383,19,9,17
385,19,7,16
387,19,9,17
389,19,9,17
391,19,6,17
393,19,8,17
395,19,8,17
397,19,9,16
399,19,8,16
401,19,8,17
403,19,9,17
405,19,8,16
407,19,10,17
409,19,8,17
411,19,8,17
413,19,8,17
415,19,7,17
417,19,8,17
419,19,8,17
421,19,7,16
423,19,6,16
425,19,7,16
427,19,5,17
429,19,9,17
431,19,6,16
433,19,8,16
435,19,8,16
437,19,7,17
439,19,8,17
441,19,8,17
443,19,9,17
445,19,9,16
447,19,7,17
449,19,9,17
451,19,8,16
453,19,8,17
455,19,7,16
457,19,8,16
459,19,8,16
461,19,8,16
463,19,8,16
465,19,9,16
467,19,9,16
469,19,8,16
471,19,8,16
473,19,8,16
475,19,9,17
477,19,7,17
479,19,8,16
481,19,8,17
483,19,8,16
485,19,6,16
487,19,8,16
489,19,9,17
491,19,8,17
493,19,9,17
495,19,8,16
497,19,8,17
